"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2016","163.03","162.03","163.12","161.90","830.40K","0.72%"
"May 02, 2016","161.86","162.05","162.40","161.84","299.16K","-0.01%"
"Apr 29, 2016","161.88","162.45","162.60","161.57","868.17K","-0.30%"
"Apr 28, 2016","162.36","162.28","162.79","162.21","829.15K","0.32%"
"Apr 27, 2016","161.85","161.65","162.15","161.53","614.21K","0.14%"
"Apr 26, 2016","161.63","162.22","162.31","161.46","733.12K","-0.34%"
"Apr 25, 2016","162.18","162.70","162.80","161.90","722.56K","-0.19%"
"Apr 22, 2016","162.49","162.57","162.68","162.34","550.98K","0.00%"
"Apr 21, 2016","162.49","163.22","163.34","162.33","984.56K","-0.73%"
"Apr 20, 2016","163.68","163.52","163.74","163.19","551.67K","0.27%"
"Apr 19, 2016","163.24","163.40","163.60","163.09","658.31K","-0.15%"
"Apr 18, 2016","163.48","164.09","164.17","163.36","589.30K","-0.24%"
"Apr 15, 2016","163.88","163.34","164.00","163.27","471.15K","0.24%"
"Apr 14, 2016","163.49","163.86","163.98","163.17","659.50K","-0.15%"
"Apr 13, 2016","163.74","163.25","163.96","163.16","649.92K","0.18%"
"Apr 12, 2016","163.44","164.01","164.02","163.24","811.36K","-0.37%"
"Apr 11, 2016","164.04","164.40","164.60","163.74","635.44K","-0.10%"
"Apr 08, 2016","164.20","164.18","164.39","164.05","409.24K","-0.10%"
"Apr 07, 2016","164.37","164.00","164.43","163.82","662.49K","0.29%"
"Apr 06, 2016","163.90","164.10","164.28","163.72","617.48K","-0.18%"
"Apr 05, 2016","164.19","163.89","164.43","163.87","689.53K","0.28%"
"Apr 04, 2016","163.73","163.88","163.93","163.43","450.58K","0.13%"
"Apr 01, 2016","163.51","163.43","163.80","163.24","554.37K","0.12%"
"Mar 31, 2016","163.32","163.59","163.64","163.03","590.96K","0.04%"
"Mar 30, 2016","163.26","163.67","163.84","163.13","540.37K","-0.17%"
"Mar 29, 2016","163.53","163.10","163.83","163.07","459.48K","0.32%"
"Mar 24, 2016","163.01","162.95","163.33","162.82","434.32K","0.17%"
"Mar 23, 2016","162.73","162.30","162.93","162.22","499.14K","0.12%"
"Mar 22, 2016","162.54","162.47","163.05","162.30","594.14K","0.07%"
"Mar 21, 2016","162.42","162.60","163.00","162.19","546.62K","-0.01%"
"Mar 18, 2016","162.44","162.49","162.81","162.33","463.33K","0.07%"
"Mar 17, 2016","162.32","161.95","162.47","161.88","673.96K","0.51%"
"Mar 16, 2016","161.50","161.21","161.80","161.09","672.87K","0.20%"
"Mar 15, 2016","161.17","161.43","161.78","161.02","581.60K","-0.29%"
"Mar 14, 2016","161.64","161.72","162.22","161.26","537.49K","-0.01%"
"Mar 11, 2016","161.65","161.30","161.96","161.03","667.40K","0.30%"
"Mar 10, 2016","161.16","162.16","163.40","160.81","1.17M","-0.65%"
"Mar 09, 2016","162.21","162.75","162.82","161.94","638.89K","-2.24%"
"Mar 08, 2016","165.93","165.22","165.95","165.22","33.91K","0.44%"
"Mar 07, 2016","165.21","165.11","165.43","164.99","461.22K","0.21%"
"Mar 04, 2016","164.87","165.73","165.75","164.76","1.09M","-0.43%"
"Mar 03, 2016","165.59","165.11","165.85","164.73","1.23M","0.24%"
"Mar 02, 2016","165.19","165.80","165.83","165.04","1.27M","-0.48%"
"Mar 01, 2016","165.99","166.56","166.59","165.80","917.76K","-0.35%"
"Feb 29, 2016","166.58","166.10","166.63","165.94","716.20K","0.38%"
"Feb 26, 2016","165.95","166.10","166.13","165.77","527.07K","-0.11%"
"Feb 25, 2016","166.13","165.71","166.25","165.59","606.73K","0.10%"
"Feb 24, 2016","165.97","165.58","166.25","165.51","805.44K","0.32%"
"Feb 23, 2016","165.44","165.43","165.56","164.75","745.19K","-0.04%"
"Feb 22, 2016","165.51","165.01","165.57","164.90","442.90K","0.20%"
"Feb 19, 2016","165.18","165.10","165.47","164.85","673.65K","0.10%"
"Feb 18, 2016","165.02","164.38","165.20","164.24","674.53K","0.51%"
"Feb 17, 2016","164.19","164.56","164.64","164.02","656.45K","-0.10%"
"Feb 16, 2016","164.35","164.49","164.68","164.06","694.81K","-0.20%"
"Feb 15, 2016","164.68","164.10","164.86","163.79","439.56K","0.18%"
"Feb 12, 2016","164.39","164.96","165.22","164.15","714.90K","-0.72%"
"Feb 11, 2016","165.59","164.88","166.16","164.86","1.08M","0.67%"
"Feb 10, 2016","164.48","164.71","164.78","164.14","724.61K","-0.09%"
"Feb 09, 2016","164.63","165.13","165.23","164.10","1.03M","-0.13%"
"Feb 08, 2016","164.84","163.78","165.06","163.72","873.86K","0.75%"
"Feb 05, 2016","163.62","163.80","164.03","163.31","712.39K","0.06%"
"Feb 04, 2016","163.52","163.73","163.87","163.25","817.62K","-0.31%"
"Feb 03, 2016","164.03","163.72","164.22","163.28","867.95K","0.35%"
"Feb 02, 2016","163.46","163.28","163.76","163.16","715.65K","0.30%"
"Feb 01, 2016","162.97","163.45","163.78","162.88","706.48K","-0.23%"
"Jan 29, 2016","163.35","162.77","163.52","162.70","948.54K","0.60%"
"Jan 28, 2016","162.37","162.12","162.72","161.92","810.75K","0.31%"
"Jan 27, 2016","161.87","161.92","162.25","161.61","631.77K","0.02%"
"Jan 26, 2016","161.83","161.73","162.03","161.55","658.06K","0.25%"
"Jan 25, 2016","161.42","161.18","161.55","161.13","438.49K","0.07%"
"Jan 22, 2016","161.31","161.45","161.61","161.02","629.14K","-0.13%"
"Jan 21, 2016","161.52","160.88","161.94","160.81","786.83K","0.24%"
"Jan 20, 2016","161.13","160.55","161.34","160.55","947.23K","0.60%"
"Jan 19, 2016","160.17","160.16","160.38","159.87","575.91K","-0.13%"
"Jan 18, 2016","160.38","160.14","160.42","159.96","338.45K","-0.01%"
"Jan 15, 2016","160.39","159.96","160.52","159.83","755.91K","0.43%"
"Jan 14, 2016","159.71","159.90","160.33","159.53","764.45K","-0.04%"
